Category,Resume
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Software Developer / Full Stack Developer,Contributed to open-source projects and created microservices architecture using Spring Boot and Docker.
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Software Developer / Full Stack Developer,"Experienced in Python, JavaScript, and React. Developed REST APIs and integrated with MongoDB and PostgreSQL."
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Software Developer / Full Stack Developer,"Experienced in Python, JavaScript, and React. Developed REST APIs and integrated with MongoDB and PostgreSQL."
Software Developer / Full Stack Developer,"Experienced in Python, JavaScript, and React. Developed REST APIs and integrated with MongoDB and PostgreSQL."
Software Developer / Full Stack Developer,"Built scalable web apps using Node.js, Express, and Angular. Worked on CI/CD and Agile development lifecycle."
Data Analyst,Performed statistical modeling and created dashboards for data visualization using Power BI.
Data Analyst,"Skilled in SQL, Excel, and Tableau. Conducted data analysis to identify business trends and KPIs."
Data Analyst,"Skilled in SQL, Excel, and Tableau. Conducted data analysis to identify business trends and KPIs."
Data Analyst,"Used Python (pandas, matplotlib, seaborn) to clean data and present actionable insights."
Data Analyst,"Used Python (pandas, matplotlib, seaborn) to clean data and present actionable insights."
Data Analyst,"Skilled in SQL, Excel, and Tableau. Conducted data analysis to identify business trends and KPIs."
Data Analyst,Performed statistical modeling and created dashboards for data visualization using Power BI.
Data Analyst,Performed statistical modeling and created dashboards for data visualization using Power BI.
Data Analyst,"Used Python (pandas, matplotlib, seaborn) to clean data and present actionable insights."
Data Analyst,"Skilled in SQL, Excel, and Tableau. Conducted data analysis to identify business trends and KPIs."
Data Analyst,"Skilled in SQL, Excel, and Tableau. Conducted data analysis to identify business trends and KPIs."
Data Analyst,"Used Python (pandas, matplotlib, seaborn) to clean data and present actionable insights."
DevOps Engineer,"Managed CI/CD pipelines using Jenkins and GitLab. Hands-on with Docker, Kubernetes, and AWS."
DevOps Engineer,"Managed CI/CD pipelines using Jenkins and GitLab. Hands-on with Docker, Kubernetes, and AWS."
DevOps Engineer,"Managed CI/CD pipelines using Jenkins and GitLab. Hands-on with Docker, Kubernetes, and AWS."
DevOps Engineer,Automated infrastructure using Terraform and Ansible. Experienced in system monitoring with Prometheus and Grafana.
DevOps Engineer,"Managed CI/CD pipelines using Jenkins and GitLab. Hands-on with Docker, Kubernetes, and AWS."
DevOps Engineer,"Managed CI/CD pipelines using Jenkins and GitLab. Hands-on with Docker, Kubernetes, and AWS."
DevOps Engineer,"Managed CI/CD pipelines using Jenkins and GitLab. Hands-on with Docker, Kubernetes, and AWS."
DevOps Engineer,Automated infrastructure using Terraform and Ansible. Experienced in system monitoring with Prometheus and Grafana.
DevOps Engineer,Automated infrastructure using Terraform and Ansible. Experienced in system monitoring with Prometheus and Grafana.
DevOps Engineer,Automated infrastructure using Terraform and Ansible. Experienced in system monitoring with Prometheus and Grafana.
DevOps Engineer,Worked on cloud migration and container orchestration in hybrid environments.
DevOps Engineer,Worked on cloud migration and container orchestration in hybrid environments.
UI/UX Designer,"Designed user flows, wireframes, and prototypes using Figma and Adobe XD."
UI/UX Designer,Conducted user research and usability testing for mobile and web interfaces.
UI/UX Designer,Conducted user research and usability testing for mobile and web interfaces.
UI/UX Designer,Collaborated with developers to ensure pixel-perfect UI implementation.
UI/UX Designer,"Designed user flows, wireframes, and prototypes using Figma and Adobe XD."
UI/UX Designer,Collaborated with developers to ensure pixel-perfect UI implementation.
UI/UX Designer,"Designed user flows, wireframes, and prototypes using Figma and Adobe XD."
UI/UX Designer,Conducted user research and usability testing for mobile and web interfaces.
UI/UX Designer,"Designed user flows, wireframes, and prototypes using Figma and Adobe XD."
UI/UX Designer,Collaborated with developers to ensure pixel-perfect UI implementation.
UI/UX Designer,Conducted user research and usability testing for mobile and web interfaces.
UI/UX Designer,Collaborated with developers to ensure pixel-perfect UI implementation.
Android/iOS Developer,Created iOS apps with SwiftUI and CoreData. Experienced in publishing to the App Store.
Android/iOS Developer,Built cross-platform apps using Flutter and Dart.
Android/iOS Developer,Developed Android apps using Kotlin and Jetpack Compose. Integrated REST APIs and Firebase.
Android/iOS Developer,Built cross-platform apps using Flutter and Dart.
Android/iOS Developer,Built cross-platform apps using Flutter and Dart.
Android/iOS Developer,Developed Android apps using Kotlin and Jetpack Compose. Integrated REST APIs and Firebase.
Android/iOS Developer,Developed Android apps using Kotlin and Jetpack Compose. Integrated REST APIs and Firebase.
Android/iOS Developer,Built cross-platform apps using Flutter and Dart.
Android/iOS Developer,Built cross-platform apps using Flutter and Dart.
Android/iOS Developer,Built cross-platform apps using Flutter and Dart.
Android/iOS Developer,Built cross-platform apps using Flutter and Dart.
Android/iOS Developer,Created iOS apps with SwiftUI and CoreData. Experienced in publishing to the App Store.
Project Manager,Managed software projects using Agile and Scrum methodologies. Proficient in Jira and Trello.
Project Manager,"Handled project budgeting, stakeholder communication, and risk mitigation."
Project Manager,"Handled project budgeting, stakeholder communication, and risk mitigation."
Project Manager,"Handled project budgeting, stakeholder communication, and risk mitigation."
Project Manager,Managed software projects using Agile and Scrum methodologies. Proficient in Jira and Trello.
Project Manager,"Led cross-functional teams, tracked milestones, and ensured timely delivery."
Project Manager,"Led cross-functional teams, tracked milestones, and ensured timely delivery."
Project Manager,"Led cross-functional teams, tracked milestones, and ensured timely delivery."
Project Manager,Managed software projects using Agile and Scrum methodologies. Proficient in Jira and Trello.
Project Manager,"Handled project budgeting, stakeholder communication, and risk mitigation."
Project Manager,Managed software projects using Agile and Scrum methodologies. Proficient in Jira and Trello.
Project Manager,"Handled project budgeting, stakeholder communication, and risk mitigation."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,"Handled end-to-end recruitment, onboarding, and employee engagement."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,Conducted interviews and maintained employee records and performance data.
HR Executive,"Handled end-to-end recruitment, onboarding, and employee engagement."
HR Executive,"Skilled in HRMS tools, payroll processing, and compliance."
HR Executive,"Handled end-to-end recruitment, onboarding, and employee engagement."
Business Analyst,Prepared use cases and reports to enhance business processes.
Business Analyst,"Gathered requirements, created BRDs, and worked closely with stakeholders."
Business Analyst,"Performed gap analysis and used tools like MS Visio, Excel, and SQL."
Business Analyst,"Gathered requirements, created BRDs, and worked closely with stakeholders."
Business Analyst,Prepared use cases and reports to enhance business processes.
Business Analyst,"Performed gap analysis and used tools like MS Visio, Excel, and SQL."
Business Analyst,"Performed gap analysis and used tools like MS Visio, Excel, and SQL."
Business Analyst,"Performed gap analysis and used tools like MS Visio, Excel, and SQL."
Business Analyst,"Performed gap analysis and used tools like MS Visio, Excel, and SQL."
Business Analyst,"Gathered requirements, created BRDs, and worked closely with stakeholders."
Business Analyst,"Performed gap analysis and used tools like MS Visio, Excel, and SQL."
Business Analyst,"Performed gap analysis and used tools like MS Visio, Excel, and SQL."
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,"Experience with regression testing, JIRA, and agile test strategies."
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,"Experience with regression testing, JIRA, and agile test strategies."
QA/Test Engineer,"Experience with regression testing, JIRA, and agile test strategies."
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
QA/Test Engineer,Performed manual and automated testing using Selenium and Postman.
Graphic Designer,Worked on UI kits and icon sets for mobile applications.
Graphic Designer,Created layouts and assets for web and print. Familiar with Figma and Canva.
Graphic Designer,Designed branding materials using Adobe Illustrator and Photoshop.
Graphic Designer,Worked on UI kits and icon sets for mobile applications.
Graphic Designer,Created layouts and assets for web and print. Familiar with Figma and Canva.
Graphic Designer,Designed branding materials using Adobe Illustrator and Photoshop.
Graphic Designer,Worked on UI kits and icon sets for mobile applications.
